H3K4me3	H3K36me3	H3K9me3	H3K4me1	H3K27ac	H3K27me3	H3K9ac	RNAseq	DNase	GROseq	deepRloop	RLFS	GC	CTCF	RAD21
0.039	0	0.038	0	0.018	0.023	0.036	0.004	0.008	0	0.098	0	0.278	0	0.055
0.039	0.039	0.036	0.028	0.004	0.043	0.015	0.002	0.007	0	0.11	0	0.304	0	0.062
0.039	0	0.032	0.022	0.004	0.044	0.082	0	0.009	0.056	0.784	0	0.428	0	0.082
0.039	0.039	0.049	0.03	0.018	0.026	0.031	0	0.004	0	0.51	0	0.316	0	0
0.039	0.044	0.042	0.022	0.011	0.037	0.042	0.014	0.01	0	0.581	0	0.35	0.051	0
0.039	0.039	0.042	0.033	0.007	0.021	0.02	0.003	0.012	0	0.09	0	0.34	0.051	0.071
0.054	0.041	0.034	0.027	0.015	0.049	0.042	0	0.019	0	0.162	0	0.416	0.051	0.055
0.048	0.039	0.036	0.029	0.018	0.039	0.025	0	0.014	0.084	0.353	0	0.384	0.058	0.062
0.045	0.041	0.032	0.047	0.076	0.028	0.024	0	0.032	0	0.088	0	0.418	0	0.063
0.039	0.039	0.037	0.032	0.023	0.018	0.014	0	0.009	0	0.099	0	0.37	0.062	0.056
0	0.043	0.038	0.034	0.007	0.028	0.01	0	0.01	0	0.067	0	0.404	0.051	0.062
0.039	0.039	0.032	0.033	0.042	0.018	0.006	0	0.01	0	0.038	0	0.326	0.051	0.071
0.069	0.039	0.038	0.04	0.004	0.034	0.031	0	0.011	0	0.428	0	0.37	0	0.055
0.042	0.039	0.032	0.056	0.022	0.018	0.027	0.003	0.01	0	0.213	0	0.464	0.071	0.062
0	0	0.037	0.047	0.004	0	0.007	0.003	0.005	0	0.08	0	0.312	0	0.112
0.048	0.046	0.041	0.026	0.023	0.035	0.02	0	0.014	0	0.043	0	0.344	0.051	0.06
0.039	0.039	0.035	0.026	0.004	0.034	0.015	0	0.01	0	0.034	0	0.374	0.051	0
0.045	0.039	0.038	0.064	0.018	0.021	0.007	0.003	0.01	0	0.074	0	0.352	0.062	0.065
0.039	0.044	0.036	0.022	0.004	0.018	0.024	0.003	0.007	0.056	1.18	0	0.404	0.051	0.061
0.039	0.046	0.034	0.022	0.015	0.05	0	0	0.009	0	0.346	0	0.41	0.051	0
0	0.039	0.032	0.067	0.004	0	0	0.012	0.009	0	0.096	0	0.422	0	0
0.039	0.044	0.034	0.03	0.022	0.018	0	0.256	0.011	0.056	0.299	0	0.326	0.051	0.055
0.039	0.041	0	0.022	0.011	0	0.012	0.002	0.009	0.056	1.39	0	0.442	0	0
0.041	0.052	0.032	0.027	0.023	0	0.036	2.03	0.017	0.072	1.05	0	0.426	0.051	0.055
0	0.044	0.048	0.022	0.011	0.032	0.036	0.002	0.005	0	0.22	0	0.372	0.051	0.055
0.039	0.039	0.034	0.053	0.011	0.04	0.012	0	0.014	0	0.057	0	0.398	0	0.055
0.039	0.039	0.043	0.022	0.022	0.03	0.03	0	0.011	0	0.36	0	0.408	0	0.062
0.039	0.039	0.039	0.022	0.032	0.024	0.007	0	0.006	0	0.14	0	0.272	0	0
0.039	0.045	0.041	0.039	0.018	0.034	0.034	0.002	0.01	0.056	0.133	0	0.37	0.051	0.058
0	0.044	0.049	0.022	0.004	0.023	0.006	0	0.008	0	0.363	0	0.326	0	0.055
0.039	0.042	0.041	0.036	0.026	0.021	0.006	0	0.01	0	0.068	0	0.396	0	0.065
0.039	0.044	0.035	0.044	0.004	0.028	0.024	0.003	0.01	0	0.884	0	0.402	0.054	0.062
0	0.048	0.036	0.032	0.026	0.036	0.011	0.074	0.011	0.056	0.334	0	0.338	0.061	0.055
0.039	0	0.04	0.026	0.015	0.034	0.027	0.002	0.02	0	0.05	0	0.35	0.066	0.062
0.039	0.039	0.032	0.1	0.004	0.018	0.006	0.264	0.005	0	0.224	0	0.26	0.051	0.055
0.07	0	0.044	0.033	0.011	0.035	0.006	0	0.01	0.112	0.842	0	0.382	0.051	0.055
0.039	0	0.032	0.022	0.011	0.018	0.021	0	0.009	0	0.156	0	0.292	0	0.055
0.039	0	0.032	0.047	0.018	0.025	0.027	0	0.009	0	0.175	0	0.288	0	0.062
0.039	0.039	0.043	0.022	0.015	0.018	0.028	0.003	0.007	0	0.253	0	0.32	0.051	0.055
0	0.039	0.036	0.039	0.004	0.039	0.041	0	0.009	0	0.061	0	0.316	0	0.074
0.039	0.039	0.038	0.022	0.007	0.042	0.021	0	0.01	0	0.089	0	0.37	0.051	0.091
0.039	0.039	0.042	0.022	0.007	0.03	0.021	0	0.008	0	0.107	0	0.312	0.051	0.055
0.039	0.039	0.037	0.056	0.034	0.027	0.006	0	0.006	0	0.04	0	0.292	0.051	0.067
0.039	0.039	0.041	0.022	0.015	0.039	0.033	0	0.01	0	0.092	0	0.396	0.051	0.06
0.042	0.044	0.035	0.022	0.015	0.039	0.007	0	0.006	0	1.16	0	0.388	0.051	0
0.039	0	0.032	0.022	0.007	0.028	0.005	0	0.01	0.056	1.48	0	0.474	0.051	0
0.039	0.047	0.032	0.029	0.015	0.048	0.015	0	0.008	0	0.978	0	0.364	0.062	0.055
0.039	0.039	0.032	0.03	0.022	0.025	0	0	0.01	0	0.353	0	0.358	0.051	0.055
0.039	0	0.042	0.056	0.004	0.018	0.006	0	0.009	0	0.081	0	0.284	0.051	0
0.039	0.039	0.032	0.056	0.018	0.028	0.026	0	0.006	0	0.167	0	0.346	0.072	0.055
0.039	0.039	0.034	0.022	0.004	0.024	0.047	0	0.007	0	0.268	0	0.296	0.051	0.07
0.039	0.039	0.034	0.022	0.015	0.024	0.017	0.008	0.009	0	0.242	0	0.372	0	0.055
0.039	0.039	0.042	0.044	0.011	0.027	0.016	0.002	0.017	0	0.039	0	0.392	0.086	0.065
0.039	0	0.032	0.032	0.004	0.018	0.04	0.002	0.006	0	0.046	0	0.288	0.051	0.055
0.039	0.039	0.044	0.03	0.026	0.024	0.007	0.002	0.008	0	0.088	0	0.304	0	0.055
0.054	0.039	0.032	0.022	0.026	0.023	0.019	0.003	0.008	0	0.206	0	0.288	0.051	0.055
0.07	0.039	0.039	0.022	0.004	0.064	0.026	0	0.007	0	0.344	0	0.288	0	0.07
0	0.039	0.04	0.022	0.015	0.018	0.005	0	0.007	0	0.049	0	0.31	0	0
0.039	0	0.034	0.052	0.004	0.024	0.041	0.002	0.006	0	0.119	0	0.262	0	0.071
0.039	0	0.034	0.022	0.011	0.021	0.007	0.003	0.006	0	0.347	0	0.37	0	0.087
0.076	0.039	0.032	0.04	0.015	0.022	0.006	0	0.009	0	0.097	0	0.31	0.051	0.055
0.039	0.039	0.043	0.029	0.019	0.034	0.006	0	0.008	0	0.539	0	0.346	0.051	0.105
0.039	0.039	0.036	0.039	0.015	0.026	0.029	0	0.01	0	0.34	0	0.378	0.051	0
0.039	0.039	0.032	0.022	0.023	0.033	0.018	0	0.011	0	0.289	0	0.366	0.051	0
0.039	0.041	0.037	0.022	0.004	0.035	0.017	0	0.011	0	0.104	0	0.386	0.051	0
0.039	0.039	0.032	0.039	0.015	0.03	0.031	0	0.013	0	0.061	0	0.4	0.051	0.06
0.039	0	0.032	0.029	0.004	0.024	0.024	0	0.007	0	0.218	0	0.274	0.051	0.065
0.039	0.047	0.044	0.047	0.03	0.056	0.005	0	0.013	0	0.161	0	0.468	0.066	0.059
0.039	0.044	0	0.022	0.018	0.028	0.045	0.002	0.02	0	0.664	0	0.414	0	0
0.039	0.039	0.034	0	0.007	0.082	0.006	0	0.007	0.056	0.771	0	0.406	0.051	0.088
0.039	0.039	0.036	0.039	0.011	0.064	0.005	0.002	0.012	0	0.589	0	0.372	0.051	0
0	0.039	0.043	0.022	0.011	0.034	0.025	0.004	0.005	0	0.607	0	0.318	0.056	0.055
0.065	0.094	0.036	0.031	0.007	0.02	0.006	0.943	0.012	0.077	0.177	0	0.372	0.071	0
0.039	0.039	0.039	0.022	0.011	0.041	0.018	0.003	0.009	0	0.461	0	0.336	0.051	0.055
0.042	0.049	0.032	0.056	0.031	0.031	0.018	0	0.016	0	0.584	0	0.406	0.051	0
0.039	0.045	0.043	0.022	0.011	0.022	0.029	0.008	0.011	0	0.509	0	0.392	0.051	0
0.039	0.039	0.032	0.022	0.015	0.028	0.01	0.003	0.012	0	0.393	0	0.346	0.051	0
0.039	0.039	0.056	0.022	0.018	0.018	0.058	0.003	0.005	0	0.538	0	0.344	0	0.055
0.043	0.039	0.058	0.034	0.011	0.045	0.021	0.003	0.015	0	0.164	0	0.334	0.081	0.056
0.063	0.054	0.04	0.068	0.015	0.028	0.036	0.317	0.007	0.056	0.099	0	0.306	0.051	0.055
0.039	0.048	0.042	0.056	0.011	0.022	0.029	0.028	0.006	0.084	0.22	0	0.322	0.051	0.055
0.048	0.093	0.04	0.056	0.026	0.018	0.032	0.284	0.013	0.056	0.318	0	0.32	0	0.055
0.039	0.041	0.043	0.022	0.004	0.046	0.021	0	0.008	0	0.434	0	0.322	0	0.07
