H3K4me3	H3K36me3	H3K9me3	H3K4me1	H3K27ac	H3K27me3	H3K9ac	RNAseq	DNase	GROseq	deepRloop	RLFS	GC	CTCF	RAD21
0.176	0.045	0.038	0.046	0.203	0.018	0.174	0.06	0.562	0.313	0.704	1	0.48	0.066	0.105
0.296	0.039	0.032	0.029	0.033	0.058	0.355	1.44	0.057	0.07	0.436	0	0.612	0.051	0.085
0.436	0.039	0.032	0.039	0.194	0.038	0.601	1.24	0.599	0.075	0.446	4	0.81	0.151	0.31
1.01	0.053	0.048	0.161	0.099	0.033	1.35	4.2	0.286	0.091	0.641	2	0.636	0.095	0.179
0.053	0.057	0.063	0.043	0.063	0.032	0.146	3.22	0.026	0.17	1.68	0	0.458	0.07	0.074
0.102	0.039	0	0	0.054	0	0.039	81.4	0.169	39.5	42.7	0	0.492	0	0.096
0.039	0.039	0.035	0.022	0.01	0.037	0.033	0.002	0.013	0	0.496	1	0.604	0.071	0.062
0.039	0.039	0.032	0.05	0.02	0.03	0.043	0.112	0.017	0	0.441	7	0.644	0.075	0.055
0	0.046	0.032	0.077	0.027	0.024	0.092	0.091	0.028	0.089	0.262	1	0.616	0.051	0.068
0.418	0.039	0.037	0.059	0.417	0.04	0.312	0.007	0.757	0.339	0.176	0	0.622	0.07	0.092
0.039	0.271	0.032	0.05	0.08	0.028	0.035	1.03	0.016	0.153	0.512	0	0.524	0.064	0.069
0.062	0.058	0.039	0.036	0.017	0.041	0.043	0.006	0.009	0.056	1.08	0	0.324	0	0.065
0.039	0.167	0.034	0.039	0.029	0.03	0.007	0.855	0.01	0.072	0.531	0	0.356	0	0.077
0.761	0.044	0.032	0.022	0.089	0.034	0.374	0.191	0.384	0.258	0.39	0	0.698	0.058	0.134
0.11	0.039	0	0.037	0.046	0.022	0.172	0.002	0.408	0	0.372	3	0.666	0.409	1.06
0.039	0.052	0.032	0.022	0.024	0.052	0.049	0.032	0.021	0.056	1.17	0	0.566	0.197	0.061
0.039	0.063	0.032	0.022	0.021	0.036	0.006	0.189	0.016	0.056	0.469	3	0.628	0.061	0.08
0	0.072	0.038	0.022	0.02	0.036	0.028	0.246	0.024	0.056	1.21	0	0.526	0.055	0.062
0.045	0.039	0.032	0.033	0.007	0.03	0.028	0.081	0.011	0.056	1.85	0	0.524	0	0.06
0.046	0.048	0.043	0.051	0.014	0.024	0.031	0.262	0.013	0.072	0.716	0	0.416	0.051	0.058
0.039	0.138	0.041	0.052	0.014	0.023	0.029	3.97	0.011	0.106	0.614	0	0.39	0.054	0.055
0.042	0.163	0.04	0.048	0.092	0.04	0.066	3.96	0.013	0.075	0.474	0	0.392	0.062	0.064
0.039	0.182	0.039	0.033	0.025	0.035	0.021	1.62	0.01	0.067	1.97	0	0.4	0.051	0.066
0.039	0.042	0.038	0.122	0.02	0.05	0.03	0.175	0.009	0.063	0.744	0	0.366	0	0.056
0.039	0.079	0.036	0.082	0.014	0.024	0.028	0.031	0.007	0.095	0.572	0	0.4	0.051	0.064
0	0.246	0.035	0.022	0.032	0.046	0.037	2.97	0.005	0.129	1.27	0	0.426	0.058	0.055
1.05	0.261	0.035	0.064	1.32	0.02	0.631	0.352	0.136	0.533	0.185	1	0.612	0.077	0.231
1.16	0.051	0.047	0.022	0.28	0.028	0.87	0.151	0.592	0.307	0.328	2	0.67	0.074	0.151
0.222	0.044	0.034	0.136	0.053	0.038	0.114	0.149	0.021	0.077	1.21	0	0.5	0.054	0.079
1.14	0.045	0.038	0.032	0.015	0.024	0.658	0.251	0.472	0.126	0.34	0	0.666	0.054	0.107
0.105	0.048	0.036	0.096	0.064	0.037	0.237	0.023	0.022	0.118	0.744	1	0.576	0.067	0.069
0	0.062	0.032	0.022	0.017	0.036	0.01	1.57	0.004	0.056	0.689	0	0.486	0.051	0
