H3K9ac	H3K9me3	H3K27me3	H3K4me3	H3K36me3	H3K27ac	H3K4me1	RNA_seq	DNase	GRO_seq
0	0.022	0.027	0.038	0.132	0.063	0	0.338	0.032	0.0642
0	0.031	0.035	0.094	0.077	0.078	0	0.624	0.032	0.054
2.34	0.019	0.016	0	0.135	0.088	0	0.53	0.058	0.0436
0	0.012	0	0.05	0.112	0	0	0.446	0.051	0.0278
0	0.022	0	0.084	0.126	0.063	0.128	2.37	0.032	0.121
0	0.007	0.016	0	0.082	0.113	0	4.79	0.045	0.164
0	0	0.016	0.058	0.071	0.088	0.118	0.066	0.055	0.079
0.188	0.014	0.03	0.188	0.071	0.164	0.087	0.25	0.045	0.0538
0.255	0.016	0.052	0.046	0.089	0	0.094	0.06	0.038	0.0594
0	0.019	0.029	0.138	0.071	0.063	0	0.302	0.048	0.196
1.01	0.022	0.045	0.255	0.071	0.715	0.082	1.67	0.37	0.0555
0.354	0.007	0.022	0.038	0.138	0.063	0	0.154	0.033	0.0451
0.04	0.027	0.064	0	0.2	0.063	0.092	0.077	0.035	0.0522
1.59	0.037	0.051	0.038	0.109	0	0.102	0.004	0.032	0.0262
0.188	0.011	0.025	0.053	0.121	0.063	0.096	0.004	0.032	0.0118
0	0.034	0.016	0.038	0.136	0.063	0	0.065	0.034	0.0495
0	0.011	0.035	0.038	0.15	0.162	0	0.103	0.042	0.0785
0	0.017	0.026	0.042	0.164	0.173	0.124	0.372	0.083	0.138
0.388	0.007	0.016	0.36	0.071	0.255	0.094	0.117	0.2	0.0311
0	0.029	0.016	0.07	0.071	0.091	0.097	0.091	0.063	0.0221
0.253	0.02	0.04	0.044	0.152	0.063	0	11.3	0.032	0.0421
0	0.017	0.028	0.053	0.197	0.104	0.082	72.4	0.049	0.331
0	0.007	0.016	0.038	0.109	0.063	0.082	0.521	0.259	0.0285
0.224	0.007	0.016	0.056	0.107	0.063	0.082	0.345	0.04	0.0255
0	0.021	0.041	0.043	0.099	0.063	0	0.316	0.032	0.0197
0.194	0.028	0.031	0.08	0.071	0	0.096	0.028	0.032	0.0333
0	0.032	0.05	0.047	0.094	0.063	0.098	0.341	0.035	0.0565
0.182	0.02	0.028	0.058	0.097	0.063	0.082	0.37	0.036	0.0647
0.239	0.028	0.024	0.054	0.071	0.15	0.117	0.064	0.032	0.101
0	0.007	0.045	0.064	0.071	0.063	0	0.062	0.043	0.0801
0	0.007	0.016	0.047	0.148	0.063	0	0.089	0.033	0.0635
0	0.007	0.016	0.056	0.163	0	0	0.04	0.037	0.02
0	0.027	0.053	0.056	0.121	0.063	0.082	0.148	0	0.0302
0	0.027	0.041	0.038	0.093	0.063	0	0.847	0.048	0.0325
0.356	0.032	0.016	0.054	0.071	0.063	0.082	0.745	0.032	0.0712
0	0.021	0.032	0.051	0.079	0.078	0.121	0.184	0.033	0.369
0	0.016	0.022	0.066	0.162	0.164	0.082	0.321	0.032	0.0413
0	0.025	0.041	0.042	0.071	0.063	0.082	0.577	0.032	0.0714
0	0	0.016	0.047	0.115	0.063	0.082	1.29	0.032	0.13
0.72	0.018	0.016	0.069	0.071	0	0.12	1.99	0.036	0.049
0.04	0.012	0.038	0.08	0.144	0.063	0.082	0.682	0.044	0.118
0	0.036	0.016	0.056	0.114	0.138	0.082	0.267	0.035	0.0682
0.04	0.013	0.016	0.071	0.071	0.088	0.082	0.04	0.045	0.0262
0.116	0.054	0.066	0.064	0.071	0.063	0.098	0.046	0.032	0
0.065	0.085	0.086	0.076	0.117	0.063	0.082	0.155	0.051	0
0	0.042	0.041	0	0.097	0	0.082	0.532	0.035	0.0867
0	0.043	0.037	0.067	0.136	0.08	0	0.815	0.048	0.0192
0	0.022	0.026	0.061	0.095	0.231	0	0.766	0.032	0.0515
0	0.036	0.016	0.062	0.097	0.264	0	4.29	0.032	0.0781
0	0.039	0.041	0	0.121	0	0.082	0.305	0.052	0.004
0	0.017	0.064	0.044	0.201	0.063	0	0.218	0.032	0.022
0.63	0.007	0.047	0.086	0.147	0.135	0.104	5.68	0.039	106
0.51	0.017	0.028	0.068	0.071	0.397	0.177	0.201	0.038	0.0289
0.322	0.045	0.04	0.046	0.098	0.063	0.082	0.08	0.053	0.0287
0.326	0	0.024	0.132	0.104	0.223	0.092	0.102	0.048	0.0637
0.141	0.007	0.036	0.124	0.071	0.215	0.126	3.95	0.041	0.116
0.219	0.014	0.058	0.047	0.081	0.063	0.082	0.292	0.032	0.067
0	0.024	0.016	0.038	0.106	0.063	0.082	0.483	0.038	0.106
0.982	0.029	0.048	0	0.132	0.097	0	0.559	0.032	0.117
0.132	0.022	0.016	0.059	0.071	0.063	0	0.048	0.032	0.042
0	0.037	0.03	0.047	0.071	0.063	0.082	0.539	0.047	0.0916
0	0.023	0.016	0.056	0.12	0.078	0.082	0.488	0.032	0.099
0	0.021	0.039	0	0.139	0.063	0.082	0.252	0.04	0.199
0	0.028	0.029	0.046	0.148	0.063	0.082	0.306	0.033	0.0413
0	0.007	0.037	0.092	0.071	0.063	0	1.78	0.032	0.167
0.242	0.054	0.035	0.113	0.071	0.063	0.082	0.213	0.092	0.0484
0.167	0.031	0.016	0.1	0	0.176	0.127	0.165	0.296	0.012
0.184	0.019	0.024	0.159	0.071	0.171	0.185	0.214	0.283	0.0223
0	0.019	0.021	0	0.077	0.063	0.082	0.203	0.032	0.0192
0	0.019	0.066	0.094	0.095	0.063	0	0.219	0.034	0.0308
0	0.007	0.03	0.108	0.085	0.1	0.082	0.066	0.032	0.00823
0.51	0.011	0.032	0.056	0.071	0.063	0	0.134	0.032	0.0163
0	0.035	0.041	0.056	0.081	0.063	0	0.053	0.032	0.0225
0	0.026	0.036	0.079	0.212	0.113	0.117	1.59	0.033	0.239
0	0.024	0.016	0.042	0.128	0.113	0.116	1.31	0.032	0.0987
0	0.023	0.016	0	0.119	0.063	0.142	1.5	0.042	0.132
0	0.023	0.018	0.062	0.132	0.105	0.082	1.55	0.042	0.175
0	0.011	0.03	0.044	0.078	0.063	0.082	1	0.032	0.179
0.322	0.033	0.016	0.038	0.186	0.063	0.097	2.06	0.035	0.164
0.084	0.041	0.016	0.08	0.13	0.063	0.082	1.05	0.035	0.205
0.394	0.032	0.05	0.068	0.136	0	0.082	0.32	0.032	0.103
0	0.011	0.016	0.047	0.089	0.097	0.117	0.414	0.043	0.027
0	0.03	0.016	0.056	0.071	0.337	0.129	0.024	0.033	0.0176
0.51	0.021	0.028	0.07	0.126	0.063	0.12	0.189	0.046	0.0245
0.105	0.036	0.02	0.056	0.085	0.063	0.082	0.203	0.032	0.0394
0	0.025	0.016	0.056	0.071	0.114	0.105	0.289	0.036	0.0213
0.156	0.028	0.044	0.056	0.178	0.063	0.082	10.7	0.039	0.0936
0	0.007	0.058	0.121	0.264	0.088	0.082	10.7	0.038	0.0809
0.224	0.054	0.016	0.101	0.224	0.063	0	5.53	0.035	0.0804
0	0.014	0.043	0.046	0.114	0.063	0.082	4.23	0.038	0.186
0.04	0.03	0.016	0.085	0.071	0.08	0.082	0.054	0.163	0.0755
0.363	0.007	0.022	0.08	0.085	0.147	0.119	0.406	0.111	0.057
0.101	0.031	0.026	0.057	0.101	0.143	0.094	0.182	0.084	0.0742
0	0.007	0.022	0.056	0.138	0.063	0.082	1.09	0.039	0.151
0	0.016	0.041	0.052	0.087	0.063	0.112	1	0.051	0.0692
0	0.028	0.039	0	0.15	0	0	0.27	0.037	0.0381
0.196	0.035	0.016	0.045	0.079	0.063	0.082	0.341	0.035	0.0352
0.276	0.015	0.058	0	0.093	0	0.082	0.373	0.034	0.12
0.234	0.029	0.016	0	0.139	0.063	0.082	0.399	0.035	0.0272
0	0.068	0.028	0.118	0.081	0.063	0.082	0.097	0.049	0.00741
0	0.012	0.019	0.038	0.132	0.063	0.082	0.031	0.033	0.0228
0.108	0.022	0.029	0.058	0	0.063	0	0.004	0.032	0.00933
0.143	0.45	0.141	0.274	0.924	0.368	0.326	0.004	0.033	0
0	0.026	0.032	0.056	0.071	0.316	0.082	0.049	0.034	0.0103
0	0.019	0.037	0.057	0.071	0.063	0.082	0.818	0.042	0.031
0.771	0.017	0.016	0.49	0.071	1.13	0.082	2.02	0.14	0.108
0	0.04	0.028	0.089	0.071	0.063	0.082	0.084	0.037	0.157
1.09	0.024	0.052	0.04	0.096	0.063	0.082	0.14	0	0.0135
0	0.031	0.034	0	0.135	0.15	0.11	0.163	0.037	0.0085
0	0.033	0.039	0.069	0.134	0	0.082	0.18	0.037	0.0252
0.445	0.017	0.016	0.104	0.103	0.063	0	0.394	0.032	0.0404
0	0.014	0.016	0.038	0.077	0.164	0.082	0.481	0	0.0596
0	0.073	0.044	0.046	0.076	0	0.082	0.09	0.038	0.279
0	0.015	0.033	0.077	0	0.063	0.082	0.053	0.038	0.0536
0	0.015	0.022	0.068	0.134	0.063	0.082	2.84	0.036	0.0484
0.536	0	0.033	0.774	0.071	0.85	0	0.119	0.963	0.321
0.224	0.02	0.048	0.056	0.132	0.197	0.082	0.579	0.037	0.0411
0.04	0.014	0.016	0.056	0.101	0.063	0.082	0.252	0.033	0.0546
0	0.022	0.064	0.043	0.153	0.063	0.143	0.018	0.038	0.018
0.17	0.038	0.035	0.074	0.071	0.135	0.117	0.688	0.079	0.0259
