H3K9ac	H3K9me3	H3K27me3	H3K4me3	H3K36me3	H3K27ac	H3K4me1	RNA_seq	DNase	GRO_seq
0	0.007	0.027	0.06	0	0	0	0.004	0.032	0
0	0.034	0.094	0.038	0.071	0.063	0	0.004	0.033	0
0	0.019	0.072	0	0.071	0	0	0.004	0.032	0
0	0.023	0.053	0.124	0	0.063	0.082	0.004	0.032	0
0	0.023	0.042	0.05	0	0	0	0.004	0.034	0
0	0.014	0.057	0.06	0.071	0	0.082	0.078	0.035	0.00175
0	0.007	0.057	0.038	0.071	0.063	0.082	0.004	0.049	0
0	0.017	0.051	0.056	0.122	0	0.082	0.004	0.04	0.00112
0	0.023	0.034	0.08	0.071	0.063	0.082	0.028	0.045	0.00214
0.252	0.02	0.023	0.059	0.088	0.063	0.082	0.004	0.032	0.0491
0	0.027	0.033	0.059	0.071	0.063	0	0.004	0.036	0
0.04	0.027	0.048	0.05	0	0.063	0	0.004	0.035	0
0.188	0.016	0.057	0.056	0	0	0.082	0.004	0.047	0
0	0.012	0.042	0	0	0	0	0.004	0.034	0
0	0.027	0.069	0.052	0	0	0.082	0.004	0.032	0
0	0.028	0.016	0.038	0	0	0	0.004	0.032	0
0	0.026	0.016	0.038	0.084	0.063	0.082	0.004	0.032	0.0197
0	0.02	0.05	0.119	0.096	0	0	0.004	0.032	0
0.217	0.025	0.064	0.078	0	0	0	0.042	0.032	0
0	0.011	0.016	0.059	0.071	0.063	0.082	0.155	0.038	0.018
0.133	0.027	0.025	0.083	0.071	0.063	0.173	0.028	0.078	0
0.105	0.029	0.04	0.103	0.071	0.063	0.098	0.028	0.032	0
0	0.032	0.028	0.044	0.071	0	0.082	0.004	0.033	0
0	0.029	0.032	0.08	0.071	0.1	0	0.004	0.04	0.0015
0	0.028	0.03	0.054	0.071	0.138	0.082	0.004	0.032	0
0	0.017	0.034	0.038	0.071	0	0.082	0.004	0.049	0.0015
0	0.007	0.03	0.057	0.071	0.063	0.082	0.083	0.04	0.0124
0	0.034	0.05	0.045	0.234	0	0.106	0.083	0.057	0.0011
0.282	0.046	0.075	0.038	0.071	0	0.082	0.06	0.032	0
0	0.007	0.024	0.038	0.092	0	0.082	0.055	0.038	0.00909
0.066	0.037	0.034	0	0.071	0	0	0.028	0.032	0
0	0.026	0.042	0.092	0.071	0.063	0	0.028	0.035	0
0	0.034	0.024	0	0.071	0.063	0.082	0.004	0.047	0
0.282	0.023	0.023	0.038	0.071	0.063	0.082	0.004	0.035	0
0	0.017	0.035	0.061	0	0.063	0.082	0.004	0.032	0
0.184	0.02	0.059	0.061	0.079	0.147	0.11	0.004	0.218	0
0	0.026	0.057	0.056	0	0.189	0.082	0.004	0.051	0.0015
0.123	0.011	0.037	0.08	0.11	0.076	0.109	0.004	0.035	0.00782
0	0.044	0.061	0	0.11	0.063	0.082	0.004	0.033	0.0147
0	0.033	0.037	0.038	0	0	0.082	0.004	0.042	0
0	0.007	0.039	0.055	0	0.063	0	0.004	0.032	0
0.169	0.021	0.055	0.038	0.079	0	0.082	0.004	0.035	0
0	0.019	0.03	0.075	0.071	0.063	0	0.004	0.036	0
0	0.021	0.065	0.054	0	0	0	0.004	0.072	0
0	0	0.027	0.047	0	0.097	0.082	0.028	0.032	0
0	0.043	0.038	0.038	0	0	0.082	0.004	0.047	0
0	0.007	0.032	0.082	0	0	0	0.004	0.042	0
0	0.022	0.02	0.112	0	0.063	0.082	0.004	0.032	0
0	0.017	0.026	0.08	0	0	0	0.004	0.032	0.0292
0	0.007	0.053	0.05	0.071	0.063	0.148	0.084	0.052	0.0158
0	0.04	0.062	0.052	0	0	0.082	0.099	0.036	0
0	0.012	0.042	0	0	0.122	0.136	0.074	0.085	0.0164
0	0.024	0.046	0.09	0.071	0.078	0.112	0.06	0.067	0
0	0.013	0.065	0.038	0.071	0.063	0.082	0.342	0.032	0.0146
0	0.019	0.047	0.056	0	0.063	0	0.028	0.045	0.0015
0	0.025	0.04	0.047	0.071	0.063	0.098	0.028	0.063	0
0	0.012	0.055	0.059	0.071	0.063	0	0.028	0.038	0
0	0.034	0.062	0.057	0.102	0.063	0.082	1.79	0.032	0.265
0	0.035	0.025	0.058	0.088	0.164	0.082	0.004	0.033	0
0	0.052	0.026	0.048	0	0.063	0.082	0.004	0.046	0
0	0.067	0.026	0.059	0.071	0	0.137	0.004	0.035	0.0013
0	0.04	0.049	0.056	0	0.063	0	0.004	0.032	0
0	0.032	0.074	0.05	0	0.063	0.082	0.004	0.037	0
0	0.04	0.033	0.038	0.071	0.063	0.082	0.163	0.032	0.0424
0	0.018	0.046	0.07	0	0	0.082	0.004	0.032	0
0	0.037	0.032	0.069	0.071	0.237	0.129	0.042	0.043	0.0822
0.066	0.043	0.042	0.088	0.071	0.063	0	0.2	0.04	0.00436
0	0.024	0.02	0.058	0.117	0.146	0.128	0.261	0.032	0.0323
0	0.025	0.058	0.056	0.071	0.063	0	0.004	0.042	0
0	0.018	0.073	0.038	0	0	0.082	0.004	0.033	0
0	0.015	0.071	0.08	0	0.143	0	0.004	0.032	0
0	0.032	0.051	0.058	0.071	0.063	0.082	0.004	0.056	0
