H3K9ac	H3K9me3	H3K27me3	H3K4me3	H3K36me3	H3K27ac	H3K4me1	RNA_seq	DNase	GRO_seq
0	0.054	0.063	0.052	0.073	0.115	0.018	2.18	0.045	0.256
0.064	0.03	0.048	0.038	0.094	0.135	0.068	0.586	0.035	0.0916
0.044	0.059	0.048	0.055	0.148	0.24	0.052	1.4	0.034	0.128
0	0.038	0.048	0.038	0.076	0	0.042	0.505	0.035	0.171
0.044	0.04	0.048	0.063	0.103	0.098	0.059	0.03	0.036	0.0181
0.111	0.067	0.048	0.038	0.105	0.072	0.026	0.079	0.033	0.0423
0.022	0.034	0.048	0.054	0.071	0	0.061	0.114	0.033	0.0482
0.364	0.035	0.081	0.078	0.136	0.083	0.136	0.167	0.051	0.0676
0.039	0.03	0.058	0.038	0.176	0.132	0.064	0.23	0.032	0.0322
0.044	0.044	0.048	0.038	0.093	0	0.082	0.66	0.033	0.224
0	0.049	0.048	0.045	0	0.103	0.049	2.1	0.051	0.534
0.044	0.033	0.048	0.078	0	0	0.065	0.036	0.037	0.0768
0.022	0.038	0.056	0.096	0.103	0.098	0.076	0.161	0.035	0.0334
0.089	0.038	0.048	0.045	0.085	0	0.033	0.049	0.044	0.033
0	0.038	0.075	0.038	0.071	0	0	0.202	0.032	0.0288
0.089	0.03	0.077	0.086	0.084	0.08	0.065	0.142	0.043	0
0.022	0.042	0.065	0.038	0.48	0.085	0.067	0.134	0.032	0.0665
0.049	0.044	0.055	0.047	0	0.152	0.085	0.05	0.045	0.0646
0	0.05	0.056	0.038	0.071	0.124	0.048	0.34	0.032	0.119
0.516	0.037	0.048	0.038	0.116	0.098	0.063	2.35	0.033	0.11
0.022	0.064	0.058	0.044	0.084	0.069	0.078	2.46	0.038	0.111
0.022	0.046	0.048	0.038	0.222	0.074	0.066	0.026	0.032	0.0416
0.022	0.049	0.048	0.038	0.071	0	0.044	0.038	0.036	0.0321
0.123	0.049	0.048	0.038	0.086	0	0.092	0.639	0.036	0.0299
0.349	0.038	0.048	0.593	0.129	0.22	0.089	0.81	0.124	0.144
0.514	0.043	0.048	0.05	0.073	0.102	0.062	0.047	0.042	0.0323
0	0.038	0.063	0.128	0	0.102	0.018	0.004	0.036	0.0464
0.022	0.035	0.068	0.087	0	0	0.028	0.008	0.057	0.0582
0	0.041	0.048	0.12	0	0	0.018	0	0.032	0.0501
0.022	0.054	0.062	0.093	0.121	0	0.058	0.906	0.045	0.0783
0	0.036	0.05	0.072	0.071	0.109	0.06	16	0.05	0.242
0.031	0.047	0.086	0.047	0.158	0.096	0.108	0.741	0.039	0.0773
0.119	0.058	0.074	0.156	0.079	0.367	0.065	0.937	0.434	0.223
0.063	0.03	0.051	0.052	0.135	0.124	0.09	0.184	0.041	0.0139
0.057	0.036	0.048	0.057	0.119	0.069	0.085	0.242	0.037	0.0296
0.133	0.047	0.06	0.038	0.104	0.235	0.101	0.055	0.044	0.0806
0.133	0.032	0.048	0.071	0.073	0	0.045	0.08	0.04	0.119
0.022	0.03	0.062	0.038	0.107	0.327	0.027	0.085	0.032	0.225
0.164	0.033	0.071	0.074	0.106	0.065	0.068	0.02	0.032	0.0299
0	0.03	0.059	0.038	0	0	0.018	0.009	0.04	0.0788
0.22	0.053	0.048	0.038	0.113	0	0.018	0.09	0.032	0.059
0.022	0.044	0.048	0.044	0.109	0	0.056	1.12	0.044	0.0677
0	0.045	0.048	0.063	0	0.68	0.018	0.298	0.175	0.154
0	0.03	0.048	0.134	0.071	0.083	0.087	0.285	0.032	0.0173
0.186	0.034	0.051	0.038	0.089	0	0.038	0.175	0.039	0.0193
0	0.051	0.048	0.064	0.071	0.084	0	0.341	0.032	0.0486
0.416	0.03	0.073	0.038	0.071	0.138	0.075	0.018	0.034	0
0.022	0.056	0.063	0.038	0.122	0.106	0.093	0.505	0.036	0.0643
0.196	0.062	0.058	0.047	0.164	0.08	0.078	0.45	0.048	0.241
0.022	0.036	0.058	0.038	0.114	0.165	0.04	0.187	0.035	0.105
0	0.048	0.048	0.038	0	0	0	0.079	0.032	0
0.022	0.032	0.052	0.057	0.084	0	0.018	0.082	0.032	0.0111
0.033	0	0	0.059	0.071	0.078	0.028	0.106	0.033	0.0149
0.022	0.03	0.074	0.038	0.071	0.106	0.063	0.107	0.037	0.0157
0	0.043	0.068	0	0	0	0	0.116	0.032	0.015
0.078	0.054	0.048	0.114	0.087	0.336	0.055	1.06	0.222	0.224
0	0.064	0.086	0.085	0	0	0.018	0.069	0.036	0
0.022	0.121	0.086	0.052	0	0	0.018	0.547	0.042	0
0.022	0.04	0.054	0.066	0	0	0.038	0.302	0.032	0.0458
0.154	0.042	0.048	0.038	0.161	0	0.059	1.63	0.032	0.0513
0.272	0.035	0.048	0.038	0.131	0.27	0.096	1.28	0.048	0.0348
0.111	0.03	0.048	0.038	0.096	0	0.034	1.1	0.032	0.063
0.225	0.03	0.048	0.038	0.1	0	0.018	0.094	0.033	0.0421
0.064	0.032	0.048	0.058	0.101	0	0.05	0.173	0.032	0.0424
0.451	0.036	0.048	0.418	0.233	0.328	0.098	2.03	0.074	0.441
0.088	0.041	0.048	0.166	0.14	1.17	0.068	0.128	0.404	1.23
0.022	0.063	0.09	0.139	0.084	0.365	0.072	2.18	0.053	0.752
0.188	0.042	0.059	0.044	0.083	0.063	0.018	0.107	0.032	0.0319
0.065	0.066	0.048	0.071	0.088	0.089	0.055	0.047	0.037	0.0465
0.139	0.05	0.054	0.1	0.08	0.111	0.106	0.026	0.044	0.0511
0.188	0.06	0.058	0.11	0	0.189	0.057	1.8	0.044	0.0642
0.078	0.037	0.048	0.057	0.131	0.103	0.106	0.16	0.035	0.074
0	0.039	0.048	0.059	0	0.198	0.018	0.284	0.032	0.0738
0.044	0.046	0.048	0.038	0.105	0.063	0.065	0.234	0.041	0.192
0	0.05	0.079	0.086	0.226	0.144	0.072	0.651	0.039	0.178
0.111	0.042	0.048	0.044	0.075	0.16	0.116	0.12	0.052	0.154
0.022	0.03	0.051	0.038	0.071	0.278	0.052	0.077	0.034	0.02
0.078	0.033	0.058	0.038	0.071	0.084	0.03	0.032	0.032	0.0309
0.109	0.035	0.048	0.038	0.096	0.15	0.049	0.423	0.032	0.0345
0.022	0.044	0.065	0.038	0.09	0.106	0.043	0.216	0.039	0.0378
0.084	0.03	0.055	0.038	0.086	0	0.047	0.066	0.032	0.0225
0.022	0.03	0.052	0	0.098	0.781	0.037	0.06	0.032	0.0137
0.068	0.044	0.048	0.038	0.079	0.08	0.157	0.055	0.036	0.0441
0.098	0.056	0.048	0.052	0.084	0.063	0.101	0.149	0.032	0.0146
0.105	0.035	0.048	0.038	0.123	0.063	0.074	0.578	0.036	0.0442
0.21	0.03	0.052	0.038	0.1	0.164	0.105	0.374	0.037	0.0371
0.09	0.035	0.061	0.047	0.096	0	0.077	0.282	0.05	0.0354
0.076	0.032	0.048	0.052	0.163	0.519	0.103	0.108	0.042	0.033
0.022	0.04	0.062	0.052	0.172	0.063	0.086	0.213	0.038	0.0273
0.109	0.032	0.054	0.086	0.076	0.133	0.122	0.019	0.032	0.0292
0	0.036	0.048	0.038	0.071	0	0.082	0.06	0.032	0.0799
0.051	0.03	0.048	0.072	0.086	0	0.033	0.201	0.033	0.0309
0.105	0.036	0.048	0.067	0.071	0.094	0.042	0.31	0.033	0.071
0.107	0.03	0.048	0.038	0.099	0.401	0.069	0.755	0.032	0.0287
0.022	0.044	0.05	0.066	0.082	0	0.091	1.45	0.042	0.0361
1.14	0.03	0.048	0.038	0.109	0.069	0.044	1.46	0.032	0.0305
0.302	0.03	0.048	0.056	0.155	0.089	0.069	1.55	0.032	0.035
0.096	0.04	0.055	0.038	0.161	0.073	0.05	1.15	0.036	0.0491
0.022	0.03	0.055	0.066	0.078	0.132	0.104	0	0.036	0.0648
0.142	0.064	0.051	0.044	0.183	0.08	0.088	0.593	0.043	0.0994
0.022	0.043	0.048	0.082	0.079	0.16	0.034	0.061	0.036	0.117
0.022	0.034	0.048	0.057	0.108	0.098	0.05	0.525	0.032	0.0902
0.141	0.064	0.059	0.056	0.164	0.16	0.06	0.206	0.035	0.0136
0.188	0.04	0.058	0.049	0.077	0.199	0.059	0.259	0.055	0.0187
0.022	0.059	0.061	0.038	0.095	0.063	0.032	0.217	0.038	0.105
0.262	0.034	0.048	0.059	0.133	0.116	0.041	0.242	0.044	0.0401
0	0.048	0.048	0.059	0	0	0.018	0.083	0.032	0
0.022	0.038	0.424	0.038	0.071	0.115	0	0.046	0.032	0.0362
0	0.035	0.05	0.038	0.075	0	0.039	0.083	0.032	0
0.192	0.06	0.048	0.339	0	0.077	0.054	0.71	0.046	0.0586
0.022	0.037	0.052	0.038	0.071	0	0.093	0.013	0.042	0.073
0	0.116	0.048	0	0	0	0	0.01	0.033	0
0.066	0.03	0	0.038	0.071	0	0.059	0.04	0.036	0.014
0	0.035	0.064	0.038	0.118	0.132	0.018	0.045	0.041	0.0198
0.129	0.034	0.048	0.038	0.154	0	0.04	0.501	0.032	0.0441
0.109	0.042	0.063	0.038	0.071	0.063	0.018	0.454	0.035	0.0251
0.022	0.048	0.063	0.066	0.084	0.063	0.03	0.023	0.032	0.0946
0.022	0	0.048	0.038	0	0	0	0.073	0.052	0.161
0	0.041	0.064	0.038	0.071	0.098	0.018	1.02	0.049	0.19
0.48	0.043	0.048	0.947	0.076	0.667	0.059	0.02	1.16	0.327
0.022	0.038	0.048	0.038	0.08	0.144	0.039	0.12	0.035	0.0065
0	0.04	0.068	0.038	0.077	0.069	0.068	0.238	0.032	0.0699
0.089	0.046	0.048	0.112	0.14	0.09	0.033	0.744	0.038	0.108
0.186	0.043	0.056	0.038	0.124	0.063	0.093	0.182	0.038	0.0498
0.069	0.041	0.048	0.038	0.096	0.368	0.106	0.016	0.048	0.055
0.136	0.038	0	0.052	0.266	0.083	0.057	0.431	0.032	0.08
0.138	0.074	0.048	0.193	0	0.125	0.056	0.321	0.043	0.0484
0.105	0.03	0.048	0.038	0.071	0.086	0.036	0.003	0.032	0.0224
0.048	0.03	0.063	0.054	0.076	0.114	0.064	0.475	0.033	0.127
0	0.057	0.048	0.038	0.071	0.119	0.018	0.302	0.036	0.0206
0.022	0.054	0.051	0.092	0.074	0.316	0.092	0.405	0.043	0.0322
0.022	0.064	0.058	0.077	0.092	0.091	0.045	0.138	0.036	0.125
0	0.036	0.068	0.038	0.084	0	0.018	0.024	0.034	0.146
0.102	0.034	0.056	0.038	0.182	0.067	0.075	0.198	0.04	0.156
0.306	0.035	0.053	0.339	0.086	1.31	0.084	0.03	0.095	0.154
0.132	0.034	0.048	0.052	0.14	0.148	0.103	0.062	0.062	0.392
0.089	0.035	0.05	0.038	0.151	0.063	0.095	0.207	0.062	0.0574
0.188	0.045	0.079	0.038	0.128	0	0.026	0.33	0.032	0.0357
0.078	0.038	0.048	0.038	0.085	0.063	0.018	0.195	0.032	0.0263
0.196	0.048	0.048	0.066	0.192	0.115	0.084	0.266	0.036	0.0438
0.122	0.037	0.051	0.038	0.149	0.115	0.123	0.127	0.036	0.059
0.135	0.05	0.048	0.038	0.197	0.224	0.093	0.346	0.043	0.144
0.162	0.044	0.062	0.082	0.071	0.142	0.083	0.032	0.057	0.071
0.063	0.051	0.058	0.038	0.077	0.205	0.156	0.035	0.045	0.0208
0.022	0.03	0.064	0.118	0.105	0.138	0.046	0.063	0.036	0.0775
0	0.038	0.054	0.038	0.171	0	0.039	0.392	0.034	0.0896
0.022	0.042	0.063	0.049	0.094	0	0.064	0.241	0.032	0
0.066	0.047	0.054	0.052	0.077	0	0.113	0.065	0.033	0.06
0.198	0.03	0.068	0.038	0.112	0.318	0.081	0.074	0.04	0.0123
0.1	0.048	0.048	0.06	0.173	0.139	0.086	0.175	0.036	0.159
0.21	0.056	0.05	0.038	0.102	0.089	0.106	0.081	0.049	0.294
0.119	0.046	0.062	0.093	0.196	0.131	0.125	0.926	0.054	0.236
0.223	0.04	0.05	0.066	0.093	0.882	0.06	0.277	0.032	0.0299
0.051	0.036	0.072	0.051	0.26	0	0.092	1.04	0.035	0.16
0.127	0.038	0.048	0.038	0.114	0.069	0.058	0.389	0.042	0.0833
0.118	0.046	0.048	0.038	0.207	0.096	0.115	1.84	0.036	0.295
0.022	0.046	0.048	0.038	0.098	0.248	0.064	0.042	0.038	0.0362
0.055	0.03	0.087	0.066	0.082	0.063	0.06	0.031	0.032	0.021
0.022	0.034	0.048	0.038	0.084	0.063	0	0.167	0.038	0.0638
0.188	0.033	0.077	0.056	0.094	0	0.044	0.405	0.033	0.117
0.096	0.033	0.052	0.038	0.142	0.159	0.069	0.156	0.035	0.0992
0.022	0.058	0.048	0.102	0.088	0.128	0.083	0.315	0.088	0.0592
0.133	0.032	0.048	0.044	0.091	0	0.033	0.273	0.032	0.0629
0.022	0.037	0.06	0.038	0.109	0.063	0.027	0.238	0.038	0.0402
0	0.03	0.048	0.038	0	0	0	0.12	0.038	0.0181
0	0.061	0.048	0.038	0	0.063	0	0.03	0.032	0.0226
0	0.037	0.048	0.038	0.071	0	0	0.004	0.043	0.0152
