H3K4me3	H3K36me3	H3K9me3	H3K4me1	H3K27ac	H3K27me3	H3K9ac	RNAseq	DNase	GROseq	deepRloop	RLFS	GC	CTCF	RAD21
0.04	0.037	0.036	0.035	0.012	0.018	0.03	0	0.007	0.021	1.46	0	0.504	0.048	0.084
0.033	0.019	0.032	0.042	0.023	0.025	0.023	0	0.006	0	0.397	0	0.34	0.048	0.077
0.034	0.03	0.039	0.089	0.047	0.033	0.014	0	0.012	0	0.047	0	0.424	0.051	0.066
0.046	0.018	0.036	0.042	0.015	0.03	0.03	0	0.011	0	0.125	0	0.396	0.054	0.062
0.045	0.026	0.032	0.085	0.034	0	0.017	0.07	0.011	0.138	1.69	0	0.482	0.048	0
0.06	0.011	0.037	0	0.007	0.036	0.032	0	0.009	0	0.052	0	0.42	0.048	0.068
0.034	0.035	0.037	0.032	0.007	0.027	0.014	0	0.009	0	0.279	0	0.426	0.056	0.055
0.034	0.016	0.039	0.073	0.004	0.021	0.014	0	0.033	0	0.177	0	0.396	0.057	0.071
0.033	0.014	0.036	0.03	0.015	0.018	0.019	0	0.005	0	0.376	0	0.354	0.048	0.055
0.034	0.011	0.033	0.03	0.032	0.067	0.023	0	0.011	0.021	0.147	0	0.448	0.051	0.055
0	0.02	0.032	0.021	0.004	0.03	0.014	0	0.007	0	0.257	0	0.302	0.048	0.055
0.036	0.014	0.046	0.026	0.012	0.021	0.014	0	0.005	0	0.149	0	0.288	0.048	0.055
0.033	0.014	0.034	0	0.023	0.03	0.005	0.07	0.004	0	0.121	0	0.366	0.048	0.068
0.034	0.029	0.033	0.028	0.004	0.044	0.019	0	0.006	0	0.056	0	0.568	0.062	0.055
0.041	0.015	0.045	0.021	0.004	0.025	0.026	0	0.007	0	0.497	0	0.36	0.052	0.06
0.042	0.045	0.035	0.028	0.013	0.023	0.026	0.138	0.008	0.021	2.36	0	0.378	0.048	0.055
0.034	0.032	0.033	0.033	0.019	0.023	0.023	0.264	0.011	0.021	0.898	0	0.43	0.051	0.055
0.035	0.02	0.032	0.028	0.004	0.031	0.019	0	0.007	0	0.326	0	0.318	0.067	0.055
0.033	0.023	0.039	0.039	0.004	0.04	0.014	0	0.009	0	0.12	0	0.382	0.048	0.068
0.036	0.071	0.033	0.048	0.029	0.021	0.01	0.386	0.013	0.138	0.16	0	0.336	0.108	0.055
0	0.033	0.04	0.039	0.015	0.023	0.005	0	0.006	0.138	0.39	0	0.304	0.048	0.055
0	0.03	0.038	0.021	0.004	0.026	0.014	0	0.009	0	0.219	0	0.456	0.048	0.055
0.033	0.022	0.033	0.054	0.016	0.043	0.028	0	0.009	0	0.131	0	0.46	0.048	0.055
0.035	0.058	0.032	0.028	0.004	0.031	0.019	0	0.006	0	0.054	0	0.272	0.048	0.06
