H3K4me3	H3K36me3	H3K9me3	H3K4me1	H3K27ac	H3K27me3	H3K9ac	RNAseq	DNase	GROseq	deepRloop	RLFS	GC	CTCF	RAD21
0.033	0.037	0.041	0.025	0.004	0.038	0.022	0	0.017	0.025	0.843	0	0.458	0.056	0.061
0.195	0.011	0	0.055	0.106	0.021	0.164	0	0.088	0.05	0.932	5	0.69	0.048	0.061
0.096	0.011	0.032	0.057	0.048	0.024	0.078	0	0.029	0.293	0.568	9	0.816	0.123	0.094
0.671	0.016	0.042	0.025	0.195	0.021	0.476	0.381	0.131	0.209	0.616	1	0.726	0.089	0.079
0.054	0.042	0.033	0.083	0.042	0.029	0.065	2.08	0.011	0.058	1.08	0	0.518	0.048	0.055
0.053	0.011	0.039	0.028	0.004	0.024	0.052	0.312	0.01	0	0.436	0	0.612	0.048	0.059
0.157	0	0.032	0.032	0.077	0.021	0.151	0.312	0.039	0.081	0.446	4	0.81	0.048	0.062
0.034	0	0	0.028	0.055	0	0.022	3490	1.34	3.36	42.7	0	0.492	0.048	0.219
0.031	0.029	0.033	0.021	0.004	0	0.038	0.248	0.011	0.021	3.56	0	0.532	0.048	0.079
0.033	0.025	0.035	0	0.008	0.036	0.019	0.259	0.015	0.052	0.645	0	0.644	0.159	0.088
0.035	0.072	0.032	0.04	0.014	0.024	0.04	3.38	0.011	0.022	1.53	0	0.444	0.055	0.055
0.041	0.023	0.033	0.041	0.046	0.029	0.038	0.072	0.014	0.046	0.496	1	0.604	0.058	0.066
0.035	0.014	0.033	0	0.043	0.021	0.034	0.037	0.012	0.024	0.441	7	0.644	0.057	0.055
0.031	0.025	0.039	0.037	0.04	0.021	0.029	0.107	0.012	0.071	1.82	0	0.534	0.048	0
0	0.011	0.032	0.028	0.01	0.028	0.024	0	0.011	0.021	0.504	0	0.468	0.054	0.055
0	0.016	0.035	0	0.014	0.031	0.016	0	0.009	0	3.68	0	0.506	0.048	0.055
0.035	0.053	0.033	0.041	0.004	0.024	0.028	0.115	0.008	0.053	2.34	0	0.428	0.048	0
0	0.024	0.035	0.021	0.007	0.021	0.023	1.23	0.011	0.109	1.5	0	0.524	0	0.055
0.056	0.111	0.033	0.059	0.014	0.024	0.02	0.35	0.009	0.022	0.345	0	0.434	0.051	0.055
0.034	0.035	0.036	0.048	0.021	0.026	0.005	0.372	0.01	0.053	1.23	0	0.508	0.096	0.083
0.031	0.03	0.032	0.063	0.02	0.049	0.022	0.408	0.018	0.058	0.782	0	0.5	0.065	0.055
0.065	0.117	0.039	0.086	0.029	0.031	0.036	0.189	0.021	0.052	0.935	0	0.376	0.048	0.055
0.033	0.054	0.035	0.028	0.014	0.04	0.034	0.835	0.014	0.065	0.812	0	0.512	0.051	0.058
0	0.041	0.034	0.035	0.019	0.018	0.014	0.927	0.011	0.021	1.38	0	0.454	0.063	0.068
0.034	0.031	0.035	0.021	0.004	0.018	0.026	0.912	0.007	0.038	1.11	0	0.458	0.076	0.061
0.035	0.04	0.039	0.036	0.038	0.03	0.053	0.182	0.012	0.051	0.443	0	0.54	0.056	0.055
0.038	0.036	0.033	0.021	0.013	0.028	0.037	0.037	0.025	0.049	0.311	0	0.558	0.067	0.055
0	0.04	0.048	0.021	0.014	0.025	0.014	0.124	0.015	0.092	0.84	0	0.474	0.058	0.066
0	0.033	0.035	0.021	0.026	0.035	0.049	0.07	0.011	0.065	0.904	0	0.576	0.048	0.058
