H3K4me3	H3K36me3	H3K9me3	H3K4me1	H3K27ac	H3K27me3	H3K9ac	RNAseq	DNase	GROseq	deepRloop	RLFS	GC	CTCF	RAD21
0.04	0.078	0.034	0.062	0.052	0.025	0.045	0.651	0.057	0.06	0.309	0	0.456	0.043	0.088
0.044	0.108	0.035	0.044	0.05	0.025	0.019	0.653	0.027	0.118	0.45	0	0.428	0.05	0.077
0.267	0.046	0.045	0.071	0.079	0.028	0.105	1.71	0.023	0.12	0.983	0	0.47	0.042	0.149
0.031	0.107	0.036	0.07	0.033	0.04	0.056	2.94	0.015	0.104	1.97	0	0.4	0.046	0.08
0.052	0.098	0.037	0.044	0.039	0.028	0.038	4.02	0.009	0.1	0.72	0	0.39	0.042	0.093
0.04	0.118	0.036	0.058	0.028	0.02	0.048	0.64	0.014	0.413	0.427	0	0.468	0.044	0.06
0.112	0.05	0.034	0.179	0.034	0.027	0.15	0.255	0.075	0.085	1.21	0	0.5	0.074	0.071
0.269	0.08	0.048	0.105	0.125	0.038	0.676	0.049	0.067	0.196	0.744	1	0.576	0.074	0.071
0.035	0.133	0.041	0.058	0.083	0.031	0.064	2.53	0.068	0.18	2.33	0	0.426	0.05	0.085
0.132	0.088	0.035	0.209	0.037	0.028	0.19	0.458	0.064	0.077	2.03	0	0.604	0.042	0.06
0.05	0.052	0.032	0.37	0.046	0.017	0.239	0.032	0.137	0.205	1.22	0	0.578	0.075	0.071
0.584	0.054	0.037	0.125	0.211	0.023	0.358	0.082	1.34	0.392	0.194	2	0.586	0.11	0.066
0.036	0.101	0.049	0.048	0.034	0.02	0.06	0.557	0.018	0.086	0.889	0	0.41	0.052	0.068
0.111	0.136	0.051	0.107	0.115	0.044	0.098	219	0.012	0.242	0.811	0	0.376	0.064	0.065
0.036	0.164	0.047	0.047	0.099	0.035	0.089	1.39	0.02	0.172	0.971	0	0.458	0.049	0.06
0.038	0.17	0.058	0.068	0.076	0.024	0.07	2.15	0.027	0.214	1.37	0	0.442	0.033	0.098
1.74	0.053	0.052	0.099	0.822	0.029	1.7	0.318	0.563	3.9	0.35	0	0.59	0.249	0.242
0.064	0.206	0.033	0.044	0.021	0.02	0.061	4.83	0.018	0.08	4.4	0	0.554	0.033	0.06
0.983	0.046	0.037	0.201	0.198	0.015	0.932	0.355	0.335	0.267	0.633	5	0.68	0.293	0.129
1.9	0.068	0.038	0.101	0.945	0.028	1.56	0.705	0.319	0.203	0.887	0	0.59	0.068	0.086
0.039	0.046	0.034	0.097	0.05	0.033	0.07	0.077	0.02	0.05	0.845	0	0.526	0.039	0.06
0.034	0.069	0.05	0.05	0.014	0.021	0.048	0.425	0.012	0.057	2.01	0	0.466	0.059	0.073
0.031	0.152	0.04	0.044	0.059	0.029	0.045	0.445	0.031	0.12	0.408	0	0.436	0.047	0.06
0.072	0.087	0.032	0.23	0.103	0.014	0.127	1.44	0.009	0.077	1.06	0	0.54	0.033	0.06
0.031	0.082	0.038	0.049	0.032	0.018	0.039	0.105	0.011	0.063	2.49	0	0.43	0.033	0.111
0.031	0.06	0.043	0.13	0.078	0.032	0.103	0.096	0.011	0.058	2.2	0	0.522	0.042	0
0.031	0.046	0.042	0.11	0.042	0.017	0.029	0.184	0.01	0.067	1.73	0	0.544	0.033	0
1.74	0.063	0.042	0.131	1.41	0.015	1.25	1.06	0.246	0.137	1.16	1	0.716	0.104	0.06
0.04	0.068	0.033	0.087	0.038	0.018	0.072	1.48	0.007	0.113	5.16	0	0.534	0.033	0.06
0.633	0	0.039	0.326	0.646	0.014	0.281	1.16	0.862	0.065	0.586	5	0.774	0.042	0.077
0.035	0.057	0.034	0.066	0.032	0.016	0.023	2.77	0.012	0.13	2.08	0	0.472	0.054	0.07
0.052	0.124	0.035	0.078	0.049	0.021	0.065	2.74	0.013	0.242	0.754	0	0.422	0.041	0.098
0.031	0.128	0.059	0.044	0.051	0.016	0.05	2.42	0.019	0.19	1.4	0	0.526	0.033	0.146
0.031	0.147	0.039	0.132	0.027	0.023	0.061	1.39	0.02	0.201	4.1	0	0.598	0.079	0.06
1.41	0.046	0.039	0.084	1.09	0.033	0.965	1.15	0.072	0.193	1.41	0	0.472	0.079	0.104
0.047	0.046	0.032	0.143	0.02	0.021	0.038	0	0.054	0	1.89	0	0.568	0.052	0.06
0.052	0.093	0.045	0.145	0.052	0.034	0.115	0.897	0.037	0.072	0.541	1	0.582	0.072	0.06
0.031	0.161	0.043	0.07	0.046	0.034	0.031	1.13	0.01	0.171	1.16	0	0.416	0.037	0.06
0.031	0.069	0.032	0.056	0.016	0.019	0.055	1.67	0.01	0.16	2.6	0	0.534	0.046	0
0.054	0.091	0.033	0.044	0.035	0.031	0.023	0.153	0.019	0.211	0.395	0	0.42	0.051	0.105
0.042	0.15	0.033	0.047	0.038	0.026	0.06	0.496	0.03	0.117	0.641	0	0.552	0.041	0.073
