H3K4me3	H3K36me3	H3K9me3	H3K4me1	H3K27ac	H3K27me3	H3K9ac	RNAseq	DNase	GROseq	deepRloop	RLFS	GC	CTCF	RAD21
0.031	0	0.041	0.044	0.017	0.015	0.005	0	0.007	0	0.058	0	0.396	0.033	0.073
0	0.046	0.034	0	0.017	0.022	0.005	0	0.008	0	0.062	0	0.32	0.043	0.06
0.031	0.06	0.034	0.044	0.016	0.016	0.005	0	0.006	0	0.286	0	0.32	0.038	0.06
0.038	0.046	0.036	0.044	0.019	0.018	0.005	0	0.008	0	0.258	0	0.262	0.036	0.06
0.043	0.054	0.032	0.044	0.061	0.023	0.014	2.28	0.007	0.141	0.616	0	0.31	0.041	0.06
0.061	0	0.032	0	0.007	0.043	0.014	0	0.007	0	0.046	0	0.362	0.033	0.06
0	0	0.032	0	0.022	0.03	0.005	0	0.005	0	0.018	0	0.29	0.033	0.06
0.035	0.068	0.047	0	0.026	0.018	0.005	0	0.008	0	0.074	0	0.418	0.042	0.06
0.038	0.046	0.034	0	0.019	0.018	0.005	0	0.007	0	0.04	0	0.326	0.048	0.073
0.036	0.046	0.033	0.044	0.015	0.014	0.005	0	0.005	0	0.323	0	0.336	0.033	0.06
0.031	0.046	0.038	0	0.018	0.022	0.005	0	0.008	0	0.065	0	0.402	0.064	0.06
0.031	0.046	0.049	0	0.012	0.019	0.005	0	0.006	0	0.089	0	0.318	0.039	0.06
0.031	0.046	0.044	0	0.014	0.02	0.005	0	0.005	0	0.441	0	0.3	0.033	0.06
0.031	0	0.038	0.044	0.008	0.023	0.005	0	0.007	0	0.616	0	0.384	0.033	0
0.033	0.046	0.042	0.044	0.016	0.024	0.005	0	0.006	0	0.106	0	0.362	0	0.06
0.031	0	0.043	0	0.008	0.018	0.005	0.068	0.006	0	0.054	0	0.31	0.033	0.06
0.037	0	0.033	0	0.014	0.018	0.005	0	0.006	0	0.214	0	0.34	0.033	0.06
0.031	0.057	0.042	0	0.008	0.019	0.019	0	0.007	0	0.101	0	0.448	0.033	0.06
0.031	0.046	0.032	0	0.018	0.017	0.005	0.116	0.006	0.05	0.535	0	0.308	0.056	0
0.031	0.06	0.046	0.044	0.018	0.018	0.034	0	0.006	0	0.147	0	0.44	0.033	0.06
0.031	0.046	0.032	0.044	0.028	0.025	0.02	0	0.009	0.05	0.076	0	0.37	0.045	0
0.057	0.046	0.037	0.044	0.029	0.027	0.014	0	0.006	0	0.787	0	0.368	0.033	0.06
0	0.046	0.034	0	0.007	0.014	0.014	0	0.005	0	0.079	0	0.336	0.033	0.06
